0.056991	  0.183893 -0.0463452   0.623936	-0.65 -0.45   0.7	-0.014502 -0.921573 -0.071571  -2.16589 -0.109586   1.01027 -0.042259
0.057991	  0.180761 -0.0476737   0.624258	-0.65 -0.45   0.7	-0.015241 -0.926416 -0.073898  -2.16598 -0.112747   1.00084 -0.043174
0.058991	  0.177604 -0.0490093   0.624581	-0.65 -0.45   0.7	-0.016004 -0.931319 -0.076259  -2.16607 -0.115932  0.991428 -0.044079
0.059991	 0.174422 -0.050351  0.624902	-0.65 -0.45   0.7	-0.016789  -0.93628 -0.078653  -2.16617 -0.119142  0.982029 -0.044975
0.060991	  0.171215 -0.0516977   0.625223	-0.65 -0.45   0.7	-0.017596 -0.941298 -0.081079  -2.16626 -0.122375  0.972648 -0.045862
0.061991	  0.167986 -0.0530506   0.625543	-0.65 -0.45   0.7	-0.018427  -0.94637  -0.08354  -2.16635 -0.125633  0.963288 -0.046738
0.062991	  0.164733 -0.0544079   0.625861	-0.65 -0.45   0.7	-0.019281 -0.951496 -0.086033  -2.16644 -0.128913  0.953953 -0.047603
0.063991	   0.16146 -0.0557702   0.626178	-0.65 -0.45   0.7	-0.020158 -0.956673 -0.088561  -2.16653 -0.132216  0.944645 -0.048457
0.064991	  0.158165 -0.0571367   0.626493	-0.65 -0.45   0.7	-0.021059   -0.9619 -0.091122  -2.16661 -0.135542  0.935367   -0.0493
0.065991	   0.15485 -0.0585069   0.626806	-0.65 -0.45   0.7	-0.021983 -0.967175 -0.093717  -2.16667 -0.138889  0.926122  -0.05013
0.066991	  0.151516 -0.0598807   0.627117	-0.65 -0.45   0.7	-0.022931 -0.972497 -0.096346  -2.16673 -0.142258  0.916912 -0.050949
0.067991	  0.148163 -0.0612582   0.627424	-0.65 -0.45   0.7	-0.023903 -0.977864  -0.09901  -2.16678 -0.145649   0.90774 -0.051754
0.068991	  0.144792 -0.0626383   0.627729	-0.65 -0.45   0.7	-0.024899 -0.983274 -0.101708  -2.16682  -0.14906  0.898609 -0.052546
0.069991	  0.141405 -0.0640207    0.62803	-0.65 -0.45   0.7	-0.025918 -0.988725  -0.10444  -2.16683 -0.152491  0.889521 -0.053325
0.070991	     0.138 -0.0654059   0.628329	-0.65 -0.45   0.7	-0.026962 -0.994217 -0.107207  -2.16684 -0.155943  0.880478 -0.054089
0.071991	  0.134579 -0.0667929   0.628623	-0.65 -0.45   0.7	-0.028029 -0.999749 -0.110009  -2.16682 -0.159415  0.871482  -0.05484
0.072991	  0.131143 -0.0681823   0.628913	-0.65 -0.45   0.7	-0.029121  -1.00532 -0.112847  -2.16679 -0.162907  0.862537 -0.055576
0.073991	  0.127693 -0.0695726   0.629199	-0.65 -0.45   0.7	-0.030237  -1.01092 -0.115719  -2.16673 -0.166417  0.853645 -0.056297
0.074991	  0.124228 -0.0709644   0.629481	-0.65 -0.45   0.7	-0.031377  -1.01656 -0.118627  -2.16665 -0.169946  0.844808 -0.057003
0.075991	  0.120751 -0.0723574   0.629757	-0.65 -0.45   0.7	-0.032541  -1.02222 -0.121571  -2.16654 -0.173493  0.836029 -0.057694
0.076991	  0.117261 -0.0737509   0.630029	-0.65 -0.45   0.7	-0.033729  -1.02792  -0.12455  -2.16641 -0.177057  0.827311 -0.058369
0.077991	  0.11376 -0.075145  0.630296	-0.65 -0.45   0.7	-0.034942  -1.03364 -0.127564  -2.16624  -0.18064  0.818655 -0.059028
